true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,26470834,18281,5435,3,0,4152,542,4530,1440,1885,7698,0,0
hazelnut,66283,244681248,5760533,169105,0,1965247,116618,3147131,2123361,1483461,308686,0,16535
forest,31178,6195460,78909352,2642,0,2065705,694322,699700,144001,526886,176443,0,253
permanent_cropland,1336,668859,11529,170153,0,85872,191,463164,24011,4852,96853,0,0
greenhouse,0,0,0,0,0,0,0,21141,12096,0,161,0,0
grassland,12284,4194737,1118224,16310,0,8618106,221653,4363734,1741206,479849,65194,0,0
sparsely_vegetated_areas,2530,1069503,797848,7990,0,1228657,2265587,224323,162853,89009,23549,0,0
arable_land,15629,2344572,263392,42292,0,3001947,54638,30281484,1096289,220616,822234,0,0
discontinuous_urban_fabric,4321,1134603,165113,0,0,534413,139781,517613,10669930,502511,41787,0,0
road_and_rail_networks,4150,1067886,415777,0,0,254808,79840,205078,478728,9129832,89451,0,0
water_courses,7640,327541,78110,0,0,39875,1,235459,10667,30317,2221972,0,0
water_bodies,719,16226,1532,0,0,5095,0,29101,5082,3848,87395,538005,45057
wetland,126,11942,81046,0,0,22091,0,52573,0,0,8140,22089,860688
