true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,0.9983418317317121,0.0006894639974655664,0.00020497986030443375,1.1314435711376289e-07,0.0,0.00015659179024544783,2.0441413851886493e-05,0.00017084797924178194,5.430929141460618e-05,7.109237105314767e-05,0.00029032842035391554,0.0,0.0
hazelnut,0.0002550933540920972,0.9416677011565597,0.02216969184147083,0.0006508088294697599,0.0,0.007563348805114912,0.0004488100533698262,0.012111886947742496,0.008171858235721823,0.005709171916702874,0.0011879931068490127,0.0,6.363575290667029e-05
forest,0.0003485680770179602,0.06926485273082596,0.8822015871888297,2.953739365839537e-05,0.0,0.023094451842208784,0.007762476245149277,0.007822601946547781,0.0016099221136270218,0.00589055230700125,0.0019726216310629275,0.0,2.8285240709969827e-06
permanent_cropland,0.0008750212860717045,0.4380732502849059,0.007550988328683146,0.1114427371923344,0.0,0.056242386135890284,0.0001250966060177362,0.30335206507643336,0.015726149775350074,0.0031778467664819693,0.06343445854783145,0.0,0.0
greenhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6330019761662375,0.3621773758907719,0.0,0.004820647942990598,0.0,0.0
grassland,0.0005896896386240377,0.20136705842175837,0.05367999889781227,0.0007829565293030002,0.0,0.4137095256238726,0.010640384033696989,0.2094797073845186,0.08358605803565664,0.02303500353338537,0.0031296179013721517,0.0,0.0
sparsely_vegetated_areas,0.0004308693905446138,0.18214075327890755,0.13587679110958065,0.0013607298144076934,0.0,0.20924533311398164,0.3858387707177075,0.038203128179896996,0.027734534726625293,0.015158598254144479,0.004010491414203601,0.0,0.0
arable_land,0.0004097465299943033,0.06146779968787534,0.006905365540230311,0.0011087721701016748,0.0,0.07870224368013365,0.0014324480712667952,0.7938916752241356,0.02874148145248735,0.005783904310014922,0.02155656333376006,0.0,0.0
discontinuous_urban_fabric,0.00031516975257314477,0.08275689580623646,0.012043189853415796,0.0,0.0,0.03897959106268734,0.01019549714983262,0.03775421456575866,0.778254847968705,0.03665268862191241,0.0030479052188785005,0.0,0.0
road_and_rail_networks,0.00035392796073531734,0.09107342512717953,0.0354590616218429,0.0,0.0,0.021731006221456562,0.006809062261471743,0.017489840561849976,0.04082776500889084,0.7786271859315768,0.007628725304996354,0.0,0.0
water_courses,0.002588442401396946,0.11097133672721951,0.026463774342030816,0.0,0.0,0.013509704287395709,3.3880136143939083e-07,0.07977382976315751,0.0036139941224739816,0.01027144087475801,0.7528071386802061,0.0,0.0
water_bodies,0.0009821599322459907,0.02216484987569325,0.002092724640056826,0.0,0.0,0.006959812037264705,0.0,0.03975220610332486,0.0069420539300057375,0.005256399748654482,0.11938229106903805,0.7349192689123842,0.06154823375133186
wetland,0.00011901444703148688,0.011279924813095367,0.07655273709614195,0.0,0.0,0.02086625515375061,0.0,0.04965830574433619,0.0,0.0,0.007688711101875422,0.020864366035543758,0.8129706856082253
