true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,26449524,22044,16015,10,0,6715,1656,8266,1523,2083,6338,0,626
hazelnut,53865,245672208,5690697,272547,0,2172592,466083,2161346,1761771,1298521,279697,386,8610
forest,19440,6234563,79932840,58253,0,1127672,945175,465685,106332,328937,187002,0,40045
permanent_cropland,989,466003,10285,418912,0,63555,4426,526091,15381,6927,14251,0,0
greenhouse,0,0,0,0,31193,0,0,1305,900,0,0,0,0
grassland,9645,3369900,1382782,36543,0,10011548,859460,3300637,1430981,341693,64301,3112,20695
sparsely_vegetated_areas,1474,854217,702175,745,0,707746,3228878,163738,134421,69331,8889,0,235
arable_land,14221,2332521,488905,61595,3956,2992147,186062,30782958,873587,211109,192333,1098,2589
discontinuous_urban_fabric,3138,1219325,134793,663,0,693469,281633,475014,10452516,434864,14657,0,0
road_and_rail_networks,3288,1084548,537571,1382,410,274570,94601,184948,465018,9047258,31929,27,0
water_courses,5774,243968,71272,4683,0,10674,141,165207,5351,16273,2420166,8073,0
water_bodies,720,33845,1472,0,0,7923,0,13342,637,2525,1150,664058,6388
wetland,113,7669,26507,3675,0,5271,0,35404,0,0,0,16584,963472
