true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,26386112,99205,17485,0,0,165,0,7957,2664,1176,43,0,0
hazelnut,19434,244120352,6426133,0,0,805829,2493,4620921,1908900,1509996,82048,0,342169
forest,10235,10969223,75902440,0,0,699127,29021,1211377,131466,381463,70019,0,41595
permanent_cropland,881,557634,19519,0,0,19001,44,890879,19836,9155,6945,0,2926
greenhouse,0,0,0,0,0,0,0,6028,21952,5418,0,0,0
grassland,7928,5789272,2193877,0,0,4071969,54912,5996317,2113046,569847,27564,0,6565
sparsely_vegetated_areas,1607,1659726,2312684,0,0,941975,128114,420856,174783,206939,25146,0,19
arable_land,10275,4206404,489347,0,0,1802589,3916,30034386,1131781,407790,45682,0,10917
discontinuous_urban_fabric,2167,2134185,148123,0,0,295220,11118,654396,9518066,938860,7937,0,0
road_and_rail_networks,2252,1811589,768832,0,0,131055,5117,328580,664857,7999624,13609,0,35
water_courses,3687,586204,92425,0,0,27556,0,1660561,8258,59528,511117,2246,0
water_bodies,477,41224,9337,0,0,6164,0,669649,1998,3208,0,3,0
wetland,55,68956,85498,0,0,12618,0,839703,0,2712,24235,0,24918
