true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,26500142,6960,4683,0,0,1226,23,1373,36,171,0,0,193
hazelnut,9343,245270400,6494957,0,0,1777686,70989,2923487,1714449,1243878,304869,0,28227
forest,3757,6264295,79991200,0,0,1414618,637029,442432,79798,399579,134043,0,79224
permanent_cropland,621,782871,12532,0,0,39813,77,646605,22776,5958,15553,0,14
greenhouse,0,101,0,0,0,122,0,4740,27596,839,0,0,0
grassland,2957,4427179,1299048,0,0,8028748,505972,4566312,1427935,392399,137510,0,43237
sparsely_vegetated_areas,548,1062075,1158818,0,0,1758494,1513564,129534,133003,82340,23376,0,10097
arable_land,5248,2721959,253887,0,0,3037819,65867,30654104,928940,270431,161384,0,43431
discontinuous_urban_fabric,570,1462342,173661,0,0,960127,50240,474062,10125436,452723,10519,0,392
road_and_rail_networks,795,1252715,485593,0,0,215448,66843,193055,419115,9046517,45469,0,0
water_courses,1223,334935,150626,0,0,62987,15461,186193,1031,32636,2152305,0,14185
water_bodies,381,36353,1000,0,0,9726,3,513331,452,1697,157009,0,12108
wetland,8,38150,83838,0,0,77205,931,117512,0,106,14333,0,726612
