true/pred,background,hazelnut,forest,permanent_cropland,greenhouse,grassland,sparsely_vegetated_areas,arable_land,discontinuous_urban_fabric,road_and_rail_networks,water_courses,water_bodies,wetland
background,0.9994469128136592,0.00026249483920437363,0.00017661829482673586,0.0,0.0,4.6238315066747425e-05,8.674398421983611e-07,5.1782387101667385e-05,1.3577319269191738e-06,6.449226652866076e-06,0.0,0.0,7.278951719316682e-06
hazelnut,3.5956979934654356e-05,0.9439348016016962,0.024996150971362822,0.0,0.0,0.006841509133267255,0.0002732045433566497,0.01125117878606688,0.006598138530663409,0.004787123652698062,0.0011733028487314716,0.0,0.00010863295222257182
forest,4.200300796095073e-05,0.07003439785859565,0.8942962497753533,0.0,0.0,0.015815334340086293,0.007121941484790121,0.004946360079366344,0.0008921362867362115,0.0044672664141678815,0.001498591747700218,0.0,0.000885719005243109
permanent_cropland,0.0004067277085707549,0.5127460997367077,0.008207909249289373,0.0,0.0,0.026075765316147286,5.0431616038563815e-05,0.4234978582937085,0.014917279050575707,0.003902228160490431,0.010186531483737441,0.0,9.16938473428433e-06
greenhouse,0.0,0.003024133181627642,0.0,0.0,0.0,0.003652913348104677,0.0,0.14192466614767352,0.8262770225762022,0.025121264746392,0.0,0.0,0.0
grassland,0.00014194987474855744,0.21252536507928432,0.06236039935487454,0.0,0.0,0.38541757625557355,0.024289030106958775,0.2192044019150608,0.06854758011467073,0.01883699320306364,0.0066011252203835415,0.0,0.002075578875381595
sparsely_vegetated_areas,9.332665060017721e-05,0.1808757343725971,0.197351464589774,0.0,0.0,0.29947875021990517,0.25776616530840624,0.022060172187670358,0.022650957134626587,0.01402284016499743,0.00398102880370391,0.0,0.0017195605677189586
arable_land,0.00013758724717229107,0.07136182273739371,0.006656176338191971,0.0,0.0,0.07964275030824734,0.0017268405505901857,0.8036611630893895,0.02435409630111053,0.007089911745436327,0.004231017587205225,0.0,0.001138634095262914
discontinuous_urban_fabric,4.1575274002937406e-05,0.1066618760280763,0.01266667308530546,0.0,0.0,0.07003077737301452,0.0036644592384343423,0.03457764481470265,0.7385399580687833,0.03302119784637163,0.0007672461530471904,0.0,2.8592118261669233e-05
road_and_rail_networks,6.780065753845235e-05,0.10683635309217905,0.04141323861140842,0.0,0.0,0.018374234044458468,0.005700628115525498,0.016464472881869082,0.03574373909965844,0.7715217623053929,0.003877771191969673,0.0,0.0
water_courses,0.00041435406504037497,0.11347643399370236,0.05103229386816968,0.0,0.0,0.021340081352982907,0.005238207849214421,0.0630824418904845,0.0003493042036440119,0.011057121231935958,0.729203864232808,0.0,0.004805897312017759
water_bodies,0.0005204491435128268,0.049658497937327545,0.001366008250689834,0.0,0.0,0.013285796246209326,4.098024752069503e-06,0.7012143813348632,0.000617435729311805,0.0023181160014206486,0.21447558943256018,0.0,0.016539627899352514
wetland,7.556472827395992e-06,0.03603492979564464,0.07918994611290316,0.0,0.0,0.07292468557988845,0.0008793845252882086,0.11099702936161973,0.0,0.0001001232649629969,0.013538365629383344,0.0,0.6863279792574821
